Name,Age,Hometown,Job category,Race,Place,Season ,
DeAnna Pappas,25,South,REALTOR,White,2,11,
Jenni Croft,27,Midwest,DANCER,White,2,11,
Bettina Bell[2],27,Mid atlantic,REALTOR,White,3,11,
Sheena Stewart[3],23,West,EXECUTIVE,White,4,11,
Hillary Reisinger[4],27,Mid atlantic,MEDICAL,White,5,11,
Kristy Katzmann[5],29,Midwest,MEDICAL,White,5,11,
McCarten Delaney[6][7],26,West,FINANCE,White,7,11,
"Estefania ""Stephy"" Leon",26,South,ASSISTANT,White,7,11,
Jade Beazley[8],24,South,SALES,White,9,11,
Lindsey Hawkins,25,Midwest,ACTRESS/MODEL,White,10,11,
Sarah Newlon,23,Midwest,RESTAURANT JOB,White,10,11,
Solisa Shoop[9],25,Southwest,BEAUTY,White,10,11,
Erin Gardner,25,South,EXECUTIVE,White,13,11,
Mallory Simons,24,International,NANNY,White,13,11,
Michele Leavy[10],30,East,REALTOR,White,13,11,
Jessica Kiss,27,South,NEWS,White,16,11,
"Julia ""Juli"" Gilliam",24,Midwest,STUDENT,White,16,11,
"Kimberly ""Kim"" Orville",31,East,REALTOR,White,16,11,
Lori Langley[11],33,Mid atlantic,TEACHER,White,16,11,
Melissa Buschel[12],28,East,EVENT PLANNER,White,16,11,
Morgan Becker,24,Southwest,STUDENT,White,16,11,
Natalie Velasco,25,Southwest,STUDENT,White,16,11,
Regina Doringa,31,West,FINANCE,Black,16,11,
Tauni Nessler [11],31,Midwest,MEDICAL,White,16,11,
Susan Coolidge,35,Midwest,FINANCE,White,16,11,
Shayne Lamas[2],22,West,ACTRESS/MODEL,White,1,12,
Chelsea Wanstrath[2],25,West,SALES,White,2,12,
Amanda Rantuccio[2],27,South,FINANCE,White,3,12,
Noelle Drake[3],26,West,ART,White,4,12,
Marshana Ritchie[4],27,East,ART,Black,5,12,
Robin Canfield[4],22,Midwest,FINANCE,White,6,12,
Ashlee Williss[5],22,South,ART,White,6,12,
Kelly Hark,25,West,SALES,White,6,12,
Holly Durst[6][7],24,Midwest,WRITER,White,9,12,
Amy Bean,22,West,NANNY,White,10,12,
Erin Storm,33,West,RESTAURANT JOB,White,10,12,
Kristine Heffelfinger[8],33,Mid atlantic,FITNESS,White,12,12,
"Caroline ""Carri"" Perrier[9][10]",25,South,FITNESS,White,13,12,
Erin Harper[11][12],25,Northwest,MARKETING,White,13,12,
Michelle Procopio,28,East,ASSISTANT,White,15,12,
Alyssa Gill,24,Northwest,STUDENT,White,16,12,
Amanda Petterman[13],26,Midwest,STUDENT,White,16,12,
